ANO_EMPENHO;DS_ORGAO;VL_EMPENHADO
-----------;--------;------------
2018;SECRETARIA MUNICIPAL DO ABASTECIMENTO;1000
2018;SECRETARIA MUNICIPAL DO ABASTECIMENTO;1000
2018;SECRETARIA MUNICIPAL DO ABASTECIMENTO;1000
2018;INSTITUTO MUNICIPAL DE TURISMO;200
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;46353,36
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;46353,36
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;46353,36
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;46353,36
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;3594,9
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;3594,9
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;325
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;325
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;18000
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;18000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;12000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;12000
2018;FUNDO MUNICIPAL DA SAÚDE;15000000
2018;FUNDO MUNICIPAL DA SAÚDE;15000000
2018;FUNDO MUNICIPAL DA SAÚDE;15000000
2018;FUNDO MUNICIPAL DA SAÚDE;15000000
2018;FUNDO MUNICIPAL DA CULTURA;18350
2018;FUNDO MUNICIPAL DA CULTURA;18350
2018;FUNDO MUNICIPAL DA CULTURA;18350
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;98656,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;98656,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;98656,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;98656,35
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;500
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;500
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;500
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7000
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7000
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1500
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1500
2018;SECRETARIA MUNICIPAL DE FINANÇAS;1683
2018;SECRETARIA MUNICIPAL DE FINANÇAS;1683
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
